Lambda,Vulnerability-F1,CWE-Macro-F1,Accuracy,MCC,Precision,Recall,FPR,PR-AUC,ROC-AUC,Brier,ECE,Seed
0.0,0.0939597315436241,0.0241440229462008,0.981461137050261,0.1566533530172095,0.5,0.0518518518518518,0.0009794319294809,0.1363881661795487,0.7983328352683017,0.0172534007579088,0.0107423176324423,13.0
0.1,0.0648148148148148,0.0306717363751584,0.9815069120205072,0.1303883210822525,0.5185185185185185,0.0345679012345679,0.0006063150039643,0.1309831105546514,0.7875865495954734,0.0173576157540082,0.0117970536743732,13.0
0.2,0.09009009009009,0.0307301587301587,0.9815069120205072,0.154963968104357,0.5128205128205128,0.0493827160493827,0.0008861526981017,0.1368146525547134,0.7973453997504494,0.0172985643148422,0.0106353813776451,13.0
0.5,0.064367816091954,0.0372362317324125,0.9813695871097684,0.1231960701379674,0.4666666666666667,0.0345679012345679,0.000746233851033,0.1303096156410949,0.8029063390147295,0.0172930099070072,0.0101415649505171,13.0
1.0,0.0688073394495412,0.1028220640925559,0.9814153620800148,0.1300433517531314,0.4838709677419355,0.037037037037037,0.000746233851033,0.1250544507394623,0.796448594794443,0.0173437763005495,0.0109425654070736,13.0
0.0,0.1263157894736842,0.014107365792759,0.9810033873477982,0.1723456062361199,0.4285714285714285,0.074074074074074,0.0018655846275826,0.1372703811641891,0.8090544767985186,0.0175696462392807,0.0115566205643746,21.0
0.1,0.0807174887892376,0.0307692307692307,0.9812322621990296,0.135172029538051,0.4390243902439024,0.0444444444444444,0.00107271116086,0.1357374907047685,0.7998498319534341,0.0173078142106533,0.0106197613840788,21.0
0.2,0.0421545667447306,0.0306717363751584,0.981278037169276,0.0919274007672898,0.4090909090909091,0.0222222222222222,0.0006063150039643,0.1215761020872258,0.8013275592337513,0.0173762701451778,0.0104900329818165,21.0
0.5,0.0465116279069767,0.0339047619047619,0.9812322621990296,0.0957204822484736,0.4,0.0246913580246913,0.0006995942353435,0.1248906398141912,0.8057294752582597,0.0173737071454525,0.0104692866458737,21.0
1.0,0.064516129032258,0.1083021140028265,0.9814153620800148,0.1254720527005028,0.4827586206896552,0.0345679012345679,0.0006995942353435,0.121945522726732,0.806408110456429,0.0174314342439174,0.0112334614639692,21.0
0.0,0.0816326530612244,0.0224905374686521,0.981461137050261,0.1450128720536548,0.5,0.0444444444444444,0.0008395130824122,0.1333404300735264,0.7939075994359487,0.017391599714756,0.0118006702033881,42.0
0.1,0.1273885350318471,0.0405907580949925,0.9811864872287832,0.1779336076973407,0.4545454545454545,0.074074074074074,0.0016790261648244,0.1438911988459768,0.8060481217190327,0.0174640212208032,0.011855445063689,42.0
0.2,0.1333333333333333,0.0471477314955575,0.9815526869907536,0.1937981192399883,0.5166666666666667,0.0765432098765432,0.0013525488549974,0.1427995082094686,0.800297572264054,0.0172990132123231,0.0116609084486581,42.0
0.5,0.0732265446224256,0.0545517441888805,0.981461137050261,0.1367069113247714,0.5,0.0395061728395061,0.000746233851033,0.1324959900080923,0.8066656071988535,0.0173008646816015,0.0117705053358074,42.0
1.0,0.0827586206896551,0.1420805584381625,0.9817357868717386,0.1598511103939351,0.6,0.0444444444444444,0.0005596753882748,0.1441836048760222,0.8122400201298884,0.0172007922083139,0.0112586667865909,42.0
0.0,0.1201716738197424,0.0179974695795653,0.9812322621990296,0.1727952476032132,0.4590163934426229,0.0691358024691358,0.0015391073177557,0.1372648910870879,0.8013993036302318,0.0174289960414171,0.0112677225723064,87.0
0.1,0.0240384615384615,0.0305343511450381,0.9814153620800148,0.0725495459536942,0.4545454545454545,0.0123456790123456,0.0002798376941374,0.1290540707314202,0.8112111271758675,0.0172562431544065,0.0105829795787202,87.0
0.2,0.0146699266503667,0.0362580232929627,0.9815526869907536,0.0733832514266919,0.75,0.0074074074074074,4.663961568956672e-05,0.1257872400093803,0.806561330230935,0.017447805032134,0.0110046672745195,87.0
0.5,0.0145631067961165,0.0386730781051267,0.9814153620800148,0.0544217992276484,0.4285714285714285,0.0074074074074074,0.0001865584627582,0.1265479229418666,0.8032864230927133,0.0174129512161016,0.0110552855661157,87.0
1.0,0.0688073394495412,0.0960176051418191,0.9814153620800148,0.1300433517531314,0.4838709677419355,0.037037037037037,0.000746233851033,0.1377496665664321,0.8069233918401402,0.0172559320926666,0.0107337592164015,87.0
0.0,0.0,0.0243756243756243,0.981461137050261,0.0,0.0,0.0,0.0,0.0413160833868731,0.535630017717296,0.156640276312828,0.3488310647944734,101.0
0.1,0.0728929384965831,0.0375568551007147,0.9813695871097684,0.1323120760732241,0.4705882352941176,0.0395061728395061,0.0008395130824122,0.127190405114096,0.7976225311952813,0.0173754226416349,0.0112657563216773,101.0
0.2,0.0943820224719101,0.0305343511450381,0.9815526869907536,0.1608088761477221,0.525,0.0518518518518518,0.0008861526981017,0.1368653527734555,0.7996743863867598,0.0172700621187686,0.0108194453338664,101.0
0.5,0.0730593607305936,0.0431863273896397,0.9814153620800148,0.1344607552784838,0.4848484848484848,0.0395061728395061,0.0007928734667226,0.1370645981138311,0.8017554345228738,0.0172602590173482,0.010492758458153,101.0
1.0,0.0657276995305164,0.0564433230539202,0.9817815618419848,0.1490441974702821,0.6666666666666666,0.0345679012345679,0.0003264773098269,0.1431884453679381,0.8005590995905502,0.0171240884810686,0.0094202509473522,101.0
